"epoch","rank: 50 - _step","rank: 50 - _step__MIN","rank: 50 - _step__MAX","rank: 50 - perplexity_valid","rank: 50 - perplexity_valid__MIN","rank: 50 - perplexity_valid__MAX","rank: 30 - _step","rank: 30 - _step__MIN","rank: 30 - _step__MAX","rank: 30 - perplexity_valid","rank: 30 - perplexity_valid__MIN","rank: 30 - perplexity_valid__MAX","rank: 20 - _step","rank: 20 - _step__MIN","rank: 20 - _step__MAX","rank: 20 - perplexity_valid","rank: 20 - perplexity_valid__MIN","rank: 20 - perplexity_valid__MAX","rank: 40 - _step","rank: 40 - _step__MIN","rank: 40 - _step__MAX","rank: 40 - perplexity_valid","rank: 40 - perplexity_valid__MIN","rank: 40 - perplexity_valid__MAX","rank: 10 - _step","rank: 10 - _step__MIN","rank: 10 - _step__MAX","rank: 10 - perplexity_valid","rank: 10 - perplexity_valid__MIN","rank: 10 - perplexity_valid__MAX"
"0","0","0","0","226.5830078125","226.5830078125","226.5830078125","0","0","0","260.9060363769531","260.9060363769531","260.9060363769531","0","0","0","275.88519287109375","275.88519287109375","275.88519287109375","0","0","0","242.6632080078125","242.6632080078125","242.6632080078125","0","0","0","305.2662658691406","305.2662658691406","305.2662658691406"
"1","2","2","2","188.6204071044922","188.6204071044922","188.6204071044922","2","2","2","209.53611755371094","209.53611755371094","209.53611755371094","2","2","2","223.39356994628906","223.39356994628906","223.39356994628906","2","2","2","194.29383850097656","194.29383850097656","194.29383850097656","2","2","2","249.2179412841797","249.2179412841797","249.2179412841797"
"2","4","4","4","165.06036376953125","165.06036376953125","165.06036376953125","4","4","4","182.87681579589844","182.87681579589844","182.87681579589844","4","4","4","196.20584106445312","196.20584106445312","196.20584106445312","4","4","4","172.6346893310547","172.6346893310547","172.6346893310547","4","4","4","220.52174377441406","220.52174377441406","220.52174377441406"
"3","6","6","6","152.32614135742188","152.32614135742188","152.32614135742188","6","6","6","166.61517333984375","166.61517333984375","166.61517333984375","6","6","6","179.85279846191406","179.85279846191406","179.85279846191406","6","6","6","157.45533752441406","157.45533752441406","157.45533752441406","6","6","6","203.05799865722656","203.05799865722656","203.05799865722656"
"4","8","8","8","143.8389434814453","143.8389434814453","143.8389434814453","8","8","8","155.89927673339844","155.89927673339844","155.89927673339844","8","8","8","170.07373046875","170.07373046875","170.07373046875","8","8","8","149.11874389648438","149.11874389648438","149.11874389648438","8","8","8","193.64137268066406","193.64137268066406","193.64137268066406"
"5","10","10","10","137.80116271972656","137.80116271972656","137.80116271972656","10","10","10","147.94253540039062","147.94253540039062","147.94253540039062","10","10","10","160.6119842529297","160.6119842529297","160.6119842529297","10","10","10","142.212890625","142.212890625","142.212890625","10","10","10","186.78282165527344","186.78282165527344","186.78282165527344"
"6","12","12","12","133.36322021484375","133.36322021484375","133.36322021484375","12","12","12","142.78585815429688","142.78585815429688","142.78585815429688","12","12","12","152.9786834716797","152.9786834716797","152.9786834716797","12","12","12","137.33277893066406","137.33277893066406","137.33277893066406","12","12","12","180.4163818359375","180.4163818359375","180.4163818359375"
"7","14","14","14","130.2161865234375","130.2161865234375","130.2161865234375","14","14","14","137.59739685058594","137.59739685058594","137.59739685058594","14","14","14","147.9249267578125","147.9249267578125","147.9249267578125","14","14","14","133.15126037597656","133.15126037597656","133.15126037597656","14","14","14","174.10348510742188","174.10348510742188","174.10348510742188"
"8","16","16","16","129.06951904296875","129.06951904296875","129.06951904296875","16","16","16","135.27700805664062","135.27700805664062","135.27700805664062","16","16","16","143.93453979492188","143.93453979492188","143.93453979492188","16","16","16","129.89178466796875","129.89178466796875","129.89178466796875","16","16","16","170.81727600097656","170.81727600097656","170.81727600097656"
"9","18","18","18","127.56031036376953","127.56031036376953","127.56031036376953","18","18","18","132.46778869628906","132.46778869628906","132.46778869628906","18","18","18","142.65643310546875","142.65643310546875","142.65643310546875","18","18","18","128.77008056640625","128.77008056640625","128.77008056640625","18","18","18","166.41343688964844","166.41343688964844","166.41343688964844"
