"epoch","rank: 50 - _step","rank: 50 - _step__MIN","rank: 50 - _step__MAX","rank: 50 - perplexity_valid","rank: 50 - perplexity_valid__MIN","rank: 50 - perplexity_valid__MAX","rank: 40 - _step","rank: 40 - _step__MIN","rank: 40 - _step__MAX","rank: 40 - perplexity_valid","rank: 40 - perplexity_valid__MIN","rank: 40 - perplexity_valid__MAX","rank: 20 - _step","rank: 20 - _step__MIN","rank: 20 - _step__MAX","rank: 20 - perplexity_valid","rank: 20 - perplexity_valid__MIN","rank: 20 - perplexity_valid__MAX","rank: 10 - _step","rank: 10 - _step__MIN","rank: 10 - _step__MAX","rank: 10 - perplexity_valid","rank: 10 - perplexity_valid__MIN","rank: 10 - perplexity_valid__MAX","rank: 30 - _step","rank: 30 - _step__MIN","rank: 30 - _step__MAX","rank: 30 - perplexity_valid","rank: 30 - perplexity_valid__MIN","rank: 30 - perplexity_valid__MAX"
"0","0","0","0","256.4971008300781","256.4971008300781","256.4971008300781","0","0","0","257.67572021484375","257.67572021484375","257.67572021484375","0","0","0","267.49951171875","267.49951171875","267.49951171875","0","0","0","287.386962890625","287.386962890625","287.386962890625","0","0","0","260.5328063964844","260.5328063964844","260.5328063964844"
"1","2","2","2","212.59234619140625","212.59234619140625","212.59234619140625","2","2","2","213.5883026123047","213.5883026123047","213.5883026123047","2","2","2","221.58322143554688","221.58322143554688","221.58322143554688","2","2","2","239.5805206298828","239.5805206298828","239.5805206298828","2","2","2","217.59031677246094","217.59031677246094","217.59031677246094"
"2","4","4","4","191.35487365722656","191.35487365722656","191.35487365722656","4","4","4","192.1300506591797","192.1300506591797","192.1300506591797","4","4","4","201.4727783203125","201.4727783203125","201.4727783203125","4","4","4","217.33631896972656","217.33631896972656","217.33631896972656","4","4","4","194.4557342529297","194.4557342529297","194.4557342529297"
"3","6","6","6","178.68545532226562","178.68545532226562","178.68545532226562","6","6","6","179.22450256347656","179.22450256347656","179.22450256347656","6","6","6","187.0679931640625","187.0679931640625","187.0679931640625","6","6","6","204.64404296875","204.64404296875","204.64404296875","6","6","6","180.5121307373047","180.5121307373047","180.5121307373047"
"4","8","8","8","169.61285400390625","169.61285400390625","169.61285400390625","8","8","8","170.19412231445312","170.19412231445312","170.19412231445312","8","8","8","177.63076782226562","177.63076782226562","177.63076782226562","8","8","8","196.12852478027344","196.12852478027344","196.12852478027344","8","8","8","170.99989318847656","170.99989318847656","170.99989318847656"
"5","10","10","10","161.765625","161.765625","161.765625","10","10","10","163.0385284423828","163.0385284423828","163.0385284423828","10","10","10","170.4705810546875","170.4705810546875","170.4705810546875","10","10","10","189.67662048339844","189.67662048339844","189.67662048339844","10","10","10","165.00048828125","165.00048828125","165.00048828125"
"6","12","12","12","157.3394317626953","157.3394317626953","157.3394317626953","12","12","12","157.62937927246094","157.62937927246094","157.62937927246094","12","12","12","164.9250946044922","164.9250946044922","164.9250946044922","12","12","12","183.91552734375","183.91552734375","183.91552734375","12","12","12","159.54290771484375","159.54290771484375","159.54290771484375"
"7","14","14","14","151.9596710205078","151.9596710205078","151.9596710205078","14","14","14","152.5866241455078","152.5866241455078","152.5866241455078","14","14","14","160.80137634277344","160.80137634277344","160.80137634277344","14","14","14","179.7763214111328","179.7763214111328","179.7763214111328","14","14","14","154.56103515625","154.56103515625","154.56103515625"
"8","16","16","16","148.2281951904297","148.2281951904297","148.2281951904297","16","16","16","149.50572204589844","149.50572204589844","149.50572204589844","16","16","16","157.30613708496094","157.30613708496094","157.30613708496094","16","16","16","176.7403564453125","176.7403564453125","176.7403564453125","16","16","16","151.19151306152344","151.19151306152344","151.19151306152344"
"9","18","18","18","145.14720153808594","145.14720153808594","145.14720153808594","18","18","18","146.43521118164062","146.43521118164062","146.43521118164062","18","18","18","154.1273956298828","154.1273956298828","154.1273956298828","18","18","18","174.431884765625","174.431884765625","174.431884765625","18","18","18","147.1984405517578","147.1984405517578","147.1984405517578"
