"Step","Second_ptb_activation - perplexity_valid","Second_ptb_activation - perplexity_valid__MIN","Second_ptb_activation - perplexity_valid__MAX","Second_ptb_non-activation - perplexity_valid","Second_ptb_non-activation - perplexity_valid__MIN","Second_ptb_non-activation - perplexity_valid__MAX"
"0","314.8869323730469","314.8869323730469","314.8869323730469","325.3934020996094","325.3934020996094","325.3934020996094"
"2","255.3617401123047","255.3617401123047","255.3617401123047","265.5176696777344","265.5176696777344","265.5176696777344"
"4","222.38088989257812","222.38088989257812","222.38088989257812","231.21798706054688","231.21798706054688","231.21798706054688"
"6","204.92620849609375","204.92620849609375","204.92620849609375","212.8585968017578","212.8585968017578","212.8585968017578"
"8","193.10195922851562","193.10195922851562","193.10195922851562","199.00633239746094","199.00633239746094","199.00633239746094"
"10","180.75982666015625","180.75982666015625","180.75982666015625","187.22845458984375","187.22845458984375","187.22845458984375"
"12","172.45164489746094","172.45164489746094","172.45164489746094","178.48793029785156","178.48793029785156","178.48793029785156"
"14","165.6390380859375","165.6390380859375","165.6390380859375","171.2483673095703","171.2483673095703","171.2483673095703"
"16","160.3833770751953","160.3833770751953","160.3833770751953","165.30052185058594","165.30052185058594","165.30052185058594"
"18","156.11524963378906","156.11524963378906","156.11524963378906","161.03929138183594","161.03929138183594","161.03929138183594"
"20","152.62351989746094","152.62351989746094","152.62351989746094","157.44427490234375","157.44427490234375","157.44427490234375"
"22","148.82974243164062","148.82974243164062","148.82974243164062","153.09800720214844","153.09800720214844","153.09800720214844"
"24","145.9619903564453","145.9619903564453","145.9619903564453","150.11338806152344","150.11338806152344","150.11338806152344"
"26","143.5623016357422","143.5623016357422","143.5623016357422","147.57237243652344","147.57237243652344","147.57237243652344"
"28","140.88031005859375","140.88031005859375","140.88031005859375","144.7932586669922","144.7932586669922","144.7932586669922"
"30","139.69747924804688","139.69747924804688","139.69747924804688","143.7191619873047","143.7191619873047","143.7191619873047"
"32","136.8582305908203","136.8582305908203","136.8582305908203","140.77549743652344","140.77549743652344","140.77549743652344"
"34","136.10546875","136.10546875","136.10546875","139.7464141845703","139.7464141845703","139.7464141845703"
"36","133.95553588867188","133.95553588867188","133.95553588867188","137.89312744140625","137.89312744140625","137.89312744140625"
"38","133.1925811767578","133.1925811767578","133.1925811767578","136.91273498535156","136.91273498535156","136.91273498535156"
"40","131.7396240234375","131.7396240234375","131.7396240234375","135.6923065185547","135.6923065185547","135.6923065185547"
"42","129.92489624023438","129.92489624023438","129.92489624023438","133.87120056152344","133.87120056152344","133.87120056152344"
"44","128.6436309814453","128.6436309814453","128.6436309814453","132.5992431640625","132.5992431640625","132.5992431640625"
"46","127.9466323852539","127.9466323852539","127.9466323852539","131.705810546875","131.705810546875","131.705810546875"
"48","127.38397216796875","127.38397216796875","127.38397216796875","131.20510864257812","131.20510864257812","131.20510864257812"
"50","125.79844665527344","125.79844665527344","125.79844665527344","129.94244384765625","129.94244384765625","129.94244384765625"
"52","124.70703125","124.70703125","124.70703125","128.84149169921875","128.84149169921875","128.84149169921875"
"54","124.8855972290039","124.8855972290039","124.8855972290039","128.89866638183594","128.89866638183594","128.89866638183594"
"56","124.24503326416016","124.24503326416016","124.24503326416016","127.93253326416016","127.93253326416016","127.93253326416016"
"58","123.4760971069336","123.4760971069336","123.4760971069336","127.43560791015625","127.43560791015625","127.43560791015625"
"60","122.8652114868164","122.8652114868164","122.8652114868164","126.70420837402344","126.70420837402344","126.70420837402344"
"62","121.28057098388672","121.28057098388672","121.28057098388672","125.59127807617188","125.59127807617188","125.59127807617188"
"64","121.64698791503906","121.64698791503906","121.64698791503906","125.77230072021484","125.77230072021484","125.77230072021484"
"66","121.57801055908203","121.57801055908203","121.57801055908203","125.86024475097656","125.86024475097656","125.86024475097656"
"68","120.61910247802734","120.61910247802734","120.61910247802734","124.82071685791016","124.82071685791016","124.82071685791016"
"70","120.15594482421875","120.15594482421875","120.15594482421875","124.17884063720703","124.17884063720703","124.17884063720703"
"72","121.56230163574219","121.56230163574219","121.56230163574219","124.14649963378906","124.14649963378906","124.14649963378906"
"74","120.80694580078125","120.80694580078125","120.80694580078125","123.97169494628906","123.97169494628906","123.97169494628906"
"76","119.5251235961914","119.5251235961914","119.5251235961914","123.89064025878906","123.89064025878906","123.89064025878906"
"78","118.82489776611328","118.82489776611328","118.82489776611328","123.05058288574219","123.05058288574219","123.05058288574219"
"80","119.24459075927734","119.24459075927734","119.24459075927734","123.26055908203125","123.26055908203125","123.26055908203125"
"82","118.84098815917969","118.84098815917969","118.84098815917969","122.96772766113281","122.96772766113281","122.96772766113281"
"84","118.10846710205078","118.10846710205078","118.10846710205078","122.51268768310547","122.51268768310547","122.51268768310547"
"86","118.72483825683594","118.72483825683594","118.72483825683594","122.80791473388672","122.80791473388672","122.80791473388672"
"88","118.06116485595703","118.06116485595703","118.06116485595703","122.09233856201172","122.09233856201172","122.09233856201172"
"90","117.93736267089844","117.93736267089844","117.93736267089844","121.92182159423828","121.92182159423828","121.92182159423828"
"92","117.29179382324219","117.29179382324219","117.29179382324219","121.42424774169922","121.42424774169922","121.42424774169922"
"94","117.60152435302734","117.60152435302734","117.60152435302734","121.88514709472656","121.88514709472656","121.88514709472656"
"96","117.1219253540039","117.1219253540039","117.1219253540039","121.93632507324219","121.93632507324219","121.93632507324219"
"98","116.42832946777344","116.42832946777344","116.42832946777344","121.08636474609375","121.08636474609375","121.08636474609375"
