"Step","RACs_ptb - perplexity_valid","RACs_ptb - perplexity_valid__MIN","RACs_ptb - perplexity_valid__MAX","RNN_ptb - perplexity_valid","RNN_ptb - perplexity_valid__MIN","RNN_ptb - perplexity_valid__MAX","TinyTNLM_ptb - perplexity_valid","TinyTNLM_ptb - perplexity_valid__MIN","TinyTNLM_ptb - perplexity_valid__MAX","MRNN_ptb - perplexity_valid","MRNN_ptb - perplexity_valid__MIN","MRNN_ptb - perplexity_valid__MAX","MIRNN_ptb - perplexity_valid","MIRNN_ptb - perplexity_valid__MIN","MIRNN_ptb - perplexity_valid__MAX","Second_ptb - perplexity_valid","Second_ptb - perplexity_valid__MIN","Second_ptb - perplexity_valid__MAX"
"0","356.9272766113281","356.9272766113281","356.9272766113281","382.4095458984375","382.4095458984375","382.4095458984375","262.67218017578125","262.67218017578125","262.67218017578125","294.4822692871094","294.4822692871094","294.4822692871094","320.423095703125","320.423095703125","320.423095703125","245.3896942138672","245.3896942138672","245.3896942138672"
"2","303.095458984375","303.095458984375","303.095458984375","316.2571105957031","316.2571105957031","316.2571105957031","221.71847534179688","221.71847534179688","221.71847534179688","231.59312438964844","231.59312438964844","231.59312438964844","246.34251403808594","246.34251403808594","246.34251403808594","192.23379516601562","192.23379516601562","192.23379516601562"
"4","273.26904296875","273.26904296875","273.26904296875","271.69189453125","271.69189453125","271.69189453125","201.11888122558594","201.11888122558594","201.11888122558594","201.15325927734375","201.15325927734375","201.15325927734375","210.4027099609375","210.4027099609375","210.4027099609375","166.2158203125","166.2158203125","166.2158203125"
"6","246.0710906982422","246.0710906982422","246.0710906982422","244.91998291015625","244.91998291015625","244.91998291015625","188.39260864257812","188.39260864257812","188.39260864257812","182.97840881347656","182.97840881347656","182.97840881347656","186.5274658203125","186.5274658203125","186.5274658203125","154.34429931640625","154.34429931640625","154.34429931640625"
"8","226.52157592773438","226.52157592773438","226.52157592773438","227.1156005859375","227.1156005859375","227.1156005859375","178.85044860839844","178.85044860839844","178.85044860839844","167.54039001464844","167.54039001464844","167.54039001464844","172.62890625","172.62890625","172.62890625","145.3624725341797","145.3624725341797","145.3624725341797"
"10","210.27012634277344","210.27012634277344","210.27012634277344","212.02471923828125","212.02471923828125","212.02471923828125","175.32620239257812","175.32620239257812","175.32620239257812","157.07745361328125","157.07745361328125","157.07745361328125","159.68739318847656","159.68739318847656","159.68739318847656","139.2612762451172","139.2612762451172","139.2612762451172"
"12","199.23513793945312","199.23513793945312","199.23513793945312","201.6953887939453","201.6953887939453","201.6953887939453","169.8048095703125","169.8048095703125","169.8048095703125","155.48036193847656","155.48036193847656","155.48036193847656","152.66171264648438","152.66171264648438","152.66171264648438","134.46478271484375","134.46478271484375","134.46478271484375"
"14","190.9403533935547","190.9403533935547","190.9403533935547","192.62310791015625","192.62310791015625","192.62310791015625","164.1546630859375","164.1546630859375","164.1546630859375","144.30804443359375","144.30804443359375","144.30804443359375","145.4095458984375","145.4095458984375","145.4095458984375","131.1168212890625","131.1168212890625","131.1168212890625"
"16","183.79945373535156","183.79945373535156","183.79945373535156","185.09803771972656","185.09803771972656","185.09803771972656","163.33590698242188","163.33590698242188","163.33590698242188","145.96038818359375","145.96038818359375","145.96038818359375","140.78480529785156","140.78480529785156","140.78480529785156","128.0878448486328","128.0878448486328","128.0878448486328"
"18","179.8381805419922","179.8381805419922","179.8381805419922","183.07635498046875","183.07635498046875","183.07635498046875","166.60623168945312","166.60623168945312","166.60623168945312","140.57577514648438","140.57577514648438","140.57577514648438","139.75538635253906","139.75538635253906","139.75538635253906","125.35264587402344","125.35264587402344","125.35264587402344"
"20","172.7598419189453","172.7598419189453","172.7598419189453","175.75201416015625","175.75201416015625","175.75201416015625","163.0565948486328","163.0565948486328","163.0565948486328","131.26324462890625","131.26324462890625","131.26324462890625","135.0540008544922","135.0540008544922","135.0540008544922","126.17206573486328","126.17206573486328","126.17206573486328"
"22","168.61709594726562","168.61709594726562","168.61709594726562","172.68739318847656","172.68739318847656","172.68739318847656","157.35887145996094","157.35887145996094","157.35887145996094","129.89651489257812","129.89651489257812","129.89651489257812","134.47625732421875","134.47625732421875","134.47625732421875","123.3910903930664","123.3910903930664","123.3910903930664"
"24","164.42764282226562","164.42764282226562","164.42764282226562","168.27175903320312","168.27175903320312","168.27175903320312","155.6162872314453","155.6162872314453","155.6162872314453","127.82437896728516","127.82437896728516","127.82437896728516","130.43218994140625","130.43218994140625","130.43218994140625","121.1518783569336","121.1518783569336","121.1518783569336"
"26","161.0256805419922","161.0256805419922","161.0256805419922","163.53936767578125","163.53936767578125","163.53936767578125","156.6122589111328","156.6122589111328","156.6122589111328","129.36314392089844","129.36314392089844","129.36314392089844","128.2147674560547","128.2147674560547","128.2147674560547","120.49433898925781","120.49433898925781","120.49433898925781"
"28","157.43861389160156","157.43861389160156","157.43861389160156","160.98756408691406","160.98756408691406","160.98756408691406","154.31312561035156","154.31312561035156","154.31312561035156","124.24520874023438","124.24520874023438","124.24520874023438","126.47899627685547","126.47899627685547","126.47899627685547","121.21981048583984","121.21981048583984","121.21981048583984"
"30","154.6764678955078","154.6764678955078","154.6764678955078","158.14414978027344","158.14414978027344","158.14414978027344","153.41136169433594","153.41136169433594","153.41136169433594","124.23762512207031","124.23762512207031","124.23762512207031","124.9942398071289","124.9942398071289","124.9942398071289","121.59423828125","121.59423828125","121.59423828125"
