"Step","rank: 17 - loss_valid","rank: 17 - loss_valid__MIN","rank: 17 - loss_valid__MAX","rank: 10 - loss_valid","rank: 10 - loss_valid__MIN","rank: 10 - loss_valid__MAX","rank: 8 - loss_valid","rank: 8 - loss_valid__MIN","rank: 8 - loss_valid__MAX","rank: 6 - loss_valid","rank: 6 - loss_valid__MIN","rank: 6 - loss_valid__MAX","rank: 4 - loss_valid","rank: 4 - loss_valid__MIN","rank: 4 - loss_valid__MAX"
"0","5.349719524383545","5.349719524383545","5.349719524383545","5.507285118103027","5.507285118103027","5.507285118103027","5.661394119262695","5.661394119262695","5.661394119262695","5.730202674865723","5.730202674865723","5.730202674865723","5.8001837730407715","5.8001837730407715","5.8001837730407715"
"2","5.153968334197998","5.153968334197998","5.153968334197998","5.339098930358887","5.339098930358887","5.339098930358887","5.4595866203308105","5.4595866203308105","5.4595866203308105","5.476393699645996","5.476393699645996","5.476393699645996","5.642312526702881","5.642312526702881","5.642312526702881"
"4","5.0395307540893555","5.0395307540893555","5.0395307540893555","5.240059852600098","5.240059852600098","5.240059852600098","5.335335731506348","5.335335731506348","5.335335731506348","5.380818843841553","5.380818843841553","5.380818843841553","5.539328098297119","5.539328098297119","5.539328098297119"
"6","4.973326683044434","4.973326683044434","4.973326683044434","5.176469802856445","5.176469802856445","5.176469802856445","5.262899875640869","5.262899875640869","5.262899875640869","5.343122482299805","5.343122482299805","5.343122482299805","5.501715183258057","5.501715183258057","5.501715183258057"
"8","4.928811550140381","4.928811550140381","4.928811550140381","5.124476432800293","5.124476432800293","5.124476432800293","5.238408088684082","5.238408088684082","5.238408088684082","5.298119068145752","5.298119068145752","5.298119068145752","5.457711219787598","5.457711219787598","5.457711219787598"
"10","4.904562950134277","4.904562950134277","4.904562950134277","5.10305643081665","5.10305643081665","5.10305643081665","5.1755242347717285","5.1755242347717285","5.1755242347717285","5.264331340789795","5.264331340789795","5.264331340789795","5.446872711181641","5.446872711181641","5.446872711181641"
"12","4.875946044921875","4.875946044921875","4.875946044921875","5.068850517272949","5.068850517272949","5.068850517272949","5.149165630340576","5.149165630340576","5.149165630340576","5.247048854827881","5.247048854827881","5.247048854827881","5.40740966796875","5.40740966796875","5.40740966796875"
"14","4.854424953460693","4.854424953460693","4.854424953460693","5.038851737976074","5.038851737976074","5.038851737976074","5.121214866638184","5.121214866638184","5.121214866638184","5.226640701293945","5.226640701293945","5.226640701293945","5.402460098266602","5.402460098266602","5.402460098266602"
"16","4.8477396965026855","4.8477396965026855","4.8477396965026855","5.032017707824707","5.032017707824707","5.032017707824707","5.107403755187988","5.107403755187988","5.107403755187988","5.206700801849365","5.206700801849365","5.206700801849365","5.385541915893555","5.385541915893555","5.385541915893555"
"18","4.885645866394043","4.885645866394043","4.885645866394043","5.049823760986328","5.049823760986328","5.049823760986328","5.089991569519043","5.089991569519043","5.089991569519043","5.207615852355957","5.207615852355957","5.207615852355957","5.369885444641113","5.369885444641113","5.369885444641113"
