"Step","rank: 17 - loss/train","rank: 17 - loss/train__MIN","rank: 17 - loss/train__MAX","rank: 10 - loss/train","rank: 10 - loss/train__MIN","rank: 10 - loss/train__MAX","rank: 8 - loss/train","rank: 8 - loss/train__MIN","rank: 8 - loss/train__MAX","rank: 6 - loss/train","rank: 6 - loss/train__MIN","rank: 6 - loss/train__MAX","rank: 4 - loss/train","rank: 4 - loss/train__MIN","rank: 4 - loss/train__MAX"
"1","5.713624477386475","5.713624477386475","5.713624477386475","5.832916736602783","5.832916736602783","5.832916736602783","5.946807384490967","5.946807384490967","5.946807384490967","6.017963886260986","6.017963886260986","6.017963886260986","6.113183498382568","6.113183498382568","6.113183498382568"
"3","5.2545599937438965","5.2545599937438965","5.2545599937438965","5.430080890655518","5.430080890655518","5.430080890655518","5.573096752166748","5.573096752166748","5.573096752166748","5.602296352386475","5.602296352386475","5.602296352386475","5.745506763458252","5.745506763458252","5.745506763458252"
"5","5.085287570953369","5.085287570953369","5.085287570953369","5.294163227081299","5.294163227081299","5.294163227081299","5.410027980804443","5.410027980804443","5.410027980804443","5.445146083831787","5.445146083831787","5.445146083831787","5.614895343780518","5.614895343780518","5.614895343780518"
"7","4.975500583648682","4.975500583648682","4.975500583648682","5.200327396392822","5.200327396392822","5.200327396392822","5.3046746253967285","5.3046746253967285","5.3046746253967285","5.369145393371582","5.369145393371582","5.369145393371582","5.533905982971191","5.533905982971191","5.533905982971191"
"9","4.897327423095703","4.897327423095703","4.897327423095703","5.132087707519531","5.132087707519531","5.132087707519531","5.23076057434082","5.23076057434082","5.23076057434082","5.318626880645752","5.318626880645752","5.318626880645752","5.485110759735107","5.485110759735107","5.485110759735107"
"11","4.836371898651123","4.836371898651123","4.836371898651123","5.078766822814941","5.078766822814941","5.078766822814941","5.175942420959473","5.175942420959473","5.175942420959473","5.280801773071289","5.280801773071289","5.280801773071289","5.450862884521484","5.450862884521484","5.450862884521484"
"13","4.789373874664307","4.789373874664307","4.789373874664307","5.038114070892334","5.038114070892334","5.038114070892334","5.133777141571045","5.133777141571045","5.133777141571045","5.25071907043457","5.25071907043457","5.25071907043457","5.4253153800964355","5.4253153800964355","5.4253153800964355"
"15","4.75006103515625","4.75006103515625","4.75006103515625","5.004876613616943","5.004876613616943","5.004876613616943","5.099101543426514","5.099101543426514","5.099101543426514","5.2253007888793945","5.2253007888793945","5.2253007888793945","5.405117988586426","5.405117988586426","5.405117988586426"
"17","4.717433452606201","4.717433452606201","4.717433452606201","4.978548049926758","4.978548049926758","4.978548049926758","5.072005271911621","5.072005271911621","5.072005271911621","5.203817844390869","5.203817844390869","5.203817844390869","5.389091968536377","5.389091968536377","5.389091968536377"
"19","4.688920497894287","4.688920497894287","4.688920497894287","4.955637454986572","4.955637454986572","4.955637454986572","5.051422595977783","5.051422595977783","5.051422595977783","5.186244487762451","5.186244487762451","5.186244487762451","5.376086235046387","5.376086235046387","5.376086235046387"
