"Step","rank: 25 - perplexity/train","rank: 25 - perplexity/train__MIN","rank: 25 - perplexity/train__MAX","rank: 20 - perplexity/train","rank: 20 - perplexity/train__MIN","rank: 20 - perplexity/train__MAX","rank: 30 - perplexity/train","rank: 30 - perplexity/train__MIN","rank: 30 - perplexity/train__MAX","rank: 35 - perplexity/train","rank: 35 - perplexity/train__MIN","rank: 35 - perplexity/train__MAX","rank: 17 - perplexity/train","rank: 17 - perplexity/train__MIN","rank: 17 - perplexity/train__MAX","rank: 10 - perplexity/train","rank: 10 - perplexity/train__MIN","rank: 10 - perplexity/train__MAX","rank: 5 - perplexity/train","rank: 5 - perplexity/train__MIN","rank: 5 - perplexity/train__MAX"
"1","333.7542724609375","333.7542724609375","333.7542724609375","370.1297607421875","370.1297607421875","370.1297607421875","316.7445983886719","316.7445983886719","316.7445983886719","307.97271728515625","307.97271728515625","307.97271728515625","378.9972839355469","378.9972839355469","378.9972839355469","432.3910827636719","432.3910827636719","432.3910827636719","505.7110290527344","505.7110290527344","505.7110290527344"
"3","168.15753173828125","168.15753173828125","168.15753173828125","182.6300506591797","182.6300506591797","182.6300506591797","156.03482055664062","156.03482055664062","156.03482055664062","146.06201171875","146.06201171875","146.06201171875","195.72926330566406","195.72926330566406","195.72926330566406","232.76744079589844","232.76744079589844","232.76744079589844","288.62725830078125","288.62725830078125","288.62725830078125"
"5","138.84487915039062","138.84487915039062","138.84487915039062","152.16368103027344","152.16368103027344","152.16368103027344","127.27930450439453","127.27930450439453","127.27930450439453","117.91331481933594","117.91331481933594","117.91331481933594","164.69000244140625","164.69000244140625","164.69000244140625","202.7058868408203","202.7058868408203","202.7058868408203","250.139404296875","250.139404296875","250.139404296875"
"7","122.90458679199219","122.90458679199219","122.90458679199219","135.2937774658203","135.2937774658203","135.2937774658203","111.52544403076172","111.52544403076172","111.52544403076172","102.69271087646484","102.69271087646484","102.69271087646484","147.63429260253906","147.63429260253906","147.63429260253906","184.70350646972656","184.70350646972656","184.70350646972656","232.2249298095703","232.2249298095703","232.2249298095703"
"9","112.69942474365234","112.69942474365234","112.69942474365234","124.66348266601562","124.66348266601562","124.66348266601562","101.50996398925781","101.50996398925781","101.50996398925781","92.46711730957031","92.46711730957031","92.46711730957031","136.44607543945312","136.44607543945312","136.44607543945312","172.5712127685547","172.5712127685547","172.5712127685547","221.65206909179688","221.65206909179688","221.65206909179688"
"11","105.2220230102539","105.2220230102539","105.2220230102539","117.10543060302734","117.10543060302734","117.10543060302734","93.96575164794922","93.96575164794922","93.96575164794922","84.67463684082031","84.67463684082031","84.67463684082031","128.13624572753906","128.13624572753906","128.13624572753906","163.42945861816406","163.42945861816406","163.42945861816406","214.46939086914062","214.46939086914062","214.46939086914062"
"13","99.53474426269531","99.53474426269531","99.53474426269531","111.40323638916016","111.40323638916016","111.40323638916016","88.32518005371094","88.32518005371094","88.32518005371094","78.95037078857422","78.95037078857422","78.95037078857422","122.63594055175781","122.63594055175781","122.63594055175781","156.99610900878906","156.99610900878906","156.99610900878906","209.4859161376953","209.4859161376953","209.4859161376953"
"15","94.88667297363281","94.88667297363281","94.88667297363281","107.0329818725586","107.0329818725586","107.0329818725586","83.478271484375","83.478271484375","83.478271484375","73.88701629638672","73.88701629638672","73.88701629638672","117.59610748291016","117.59610748291016","117.59610748291016","151.767822265625","151.767822265625","151.767822265625","205.6390838623047","205.6390838623047","205.6390838623047"
"17","91.07302856445312","91.07302856445312","91.07302856445312","103.23983764648438","103.23983764648438","103.23983764648438","79.62109375","79.62109375","79.62109375","69.92033386230469","69.92033386230469","69.92033386230469","113.7900161743164","113.7900161743164","113.7900161743164","147.83575439453125","147.83575439453125","147.83575439453125","202.67848205566406","202.67848205566406","202.67848205566406"
"19","87.67112731933594","87.67112731933594","87.67112731933594","100.43877410888672","100.43877410888672","100.43877410888672","76.40202331542969","76.40202331542969","76.40202331542969","66.5418472290039","66.5418472290039","66.5418472290039","110.5356216430664","110.5356216430664","110.5356216430664","144.6473388671875","144.6473388671875","144.6473388671875","199.2666778564453","199.2666778564453","199.2666778564453"
